Description,Price,Bedrooms,Bathrooms,Parking Spaces,Square Footage,Acres,Year Built,Type,Sub-Type,Style,Address,Community,City,Province,Postal Code
1 Bedrooms 1 Bathrooms Bungalow,399990.0,1,1,8,787.0,0.12,1948,Single Family,Residential Detached Single Family,Bungalow,15915 100a Avenue Nw,Glenwood,Edmonton,Alberta,T5P 0L7
4 Bedrooms 2 Bathrooms Bungalow,357000.0,4,2,0,929.0,0.15,1954,Single Family,Residential Detached Single Family,Bungalow,11540 140 Street Nw,Woodcroft,Edmonton,Alberta,T5M 1S7
5 Bedrooms 2 Bathrooms Bungalow,499600.0,5,2,2,1161.0,0.14,1959,Single Family,Residential Detached Single Family,Bungalow,10431 68 Avenue Nw,Allendale,Edmonton,Alberta,T6H 2A8
4 Bedrooms 3 Bathrooms Bungalow,398800.0,4,3,6,1217.0,0.15,1976,Single Family,Residential Detached Single Family,Bungalow,12112 146 Avenue Nw,Caernarvon,Edmonton,Alberta,T5X 1V3
3 Bedrooms 2 Bathrooms Bungalow,279900.0,3,2,0,1160.0,0.0,1979,Single Family,Residential Detached Single Family,Bungalow,11945 52 Street Nw,Newton,Edmonton,Alberta,T5W 3J5
3 Bedrooms 2 Bathrooms Raised Bungalow,292000.0,3,2,0,914.0,0.0,1955,Single Family,Residential Detached Single Family,Raised Bungalow,11838 54 Street Nw,Newton,Edmonton,Alberta,T5W 3M7
3 Bedrooms 2 Bathrooms Bungalow,314850.0,3,2,4,1119.0,0.15,1967,Single Family,Residential Detached Single Family,Bungalow,7312 143 Avenue Nw,Kildare,Edmonton,Alberta,T5C 2P7
3 Bedrooms 1 Bathrooms Bungalow,189900.0,3,1,0,694.0,0.1,1940,Single Family,Residential Detached Single Family,Bungalow,12909 66 Street Nw,Belvedere,Edmonton,Alberta,T5C 0A6
4 Bedrooms 0 Bathrooms Raised Bungalow,238888.0,4,0,3,926.0,0.09,1959,Single Family,Residential Detached Single Family,Raised Bungalow,9349 103a Avenue Nw,Boyle Street,Edmonton,Alberta,T5H 0H3
3 Bedrooms 1 Bathrooms Bungalow,219900.0,3,1,0,1109.0,0.09,1942,Single Family,Residential Detached Single Family,Bungalow,9335 103a Avenue Nw,Boyle Street,Edmonton,Alberta,T5H 0H3
4 Bedrooms 2 Bathrooms Bungalow,289000.0,4,2,0,1401.0,0.17,1945,Single Family,Residential Detached Single Family,Bungalow,12102 81 Street Nw,Eastwood,Edmonton,Alberta,T5B 2T1
3 Bedrooms 2 Bathrooms Bungalow,419000.0,3,2,0,815.0,0.15,1959,Single Family,Residential Detached Single Family,Bungalow,13712 119 Avenue Nw,Dovercourt,Edmonton,Alberta,T5L 2N6
4 Bedrooms 2 Bathrooms Bungalow,397500.0,4,2,0,992.0,0.14,1953,Single Family,Residential Detached Single Family,Bungalow,11229 51 Street Nw,Highlands,Edmonton,Alberta,T5W 3E7
3 Bedrooms 2 Bathrooms Bungalow,334900.0,3,2,5,1038.0,0.14,1980,Single Family,Residential Detached Single Family,Bungalow,11929 138 Avenue Nw,Carlisle,Edmonton,Alberta,T5X 4K1
4 Bedrooms 3 Bathrooms Bungalow,530000.0,4,3,0,1766.0,0.21,1999,Single Family,Residential Detached Single Family,Bungalow,1532 147 Avenue Nw,Fraser,Edmonton,Alberta,T5Y 2X9
3 Bedrooms 1 Bathrooms Bungalow,235000.0,3,1,4,958.0,0.16,1955,Single Family,Residential Detached Single Family,Bungalow,12947 116 Street Nw,Calder,Edmonton,Alberta,T5E 5H3
4 Bedrooms 4 Bathrooms Bungalow,950000.0,4,4,0,2089.0,0.0,1958,Single Family,Residential Detached Single Family,Bungalow,14420 78 Avenue Nw,Laurier Heights,Edmonton,Alberta,T5R 3C3
3 Bedrooms 2 Bathrooms Bungalow,325000.0,3,2,0,1023.0,0.14,1951,Single Family,Residential Detached Single Family,Bungalow,11514 127 Street Nw,Inglewood,Edmonton,Alberta,T5M 0V3
4 Bedrooms 2 Bathrooms Bungalow,330000.0,4,2,0,1117.0,0.17,1972,Single Family,Residential Detached Single Family,Bungalow,10416 154 Street Nw,Canora,Edmonton,Alberta,T5P 2H8
2 Bedrooms 1 Bathrooms Bungalow,274900.0,2,1,0,1105.0,0.14,1956,Single Family,Residential Detached Single Family,Bungalow,12824 130 Street Nw,Athlone,Edmonton,Alberta,T5L 1L5
4 Bedrooms 2 Bathrooms Raised Bungalow,244900.0,4,2,0,1017.0,0.17,1951,Single Family,Residential Detached Single Family,Raised Bungalow,12122 85 Street Nw,Eastwood,Edmonton,Alberta,T6B 3G6
5 Bedrooms 2 Bathrooms Bungalow,499900.0,5,2,0,1075.0,0.13,1958,Single Family,Residential Detached Single Family,Bungalow,10308 44 Street Nw,Gold Bar,Edmonton,Alberta,T6A 1V7
3 Bedrooms 2 Bathrooms Bungalow,493000.0,3,2,0,861.0,0.16,1950,Single Family,Residential Detached Single Family,Bungalow,11106 73 Avenue Nw,Mckernan,Edmonton,Alberta,T6G 0C4
3 Bedrooms 2 Bathrooms Bungalow,618000.0,3,2,0,1206.0,0.2,1957,Single Family,Residential Detached Single Family,Bungalow,10526 70 Avenue Nw,Queen Alexandra,Edmonton,Alberta,T6H 2E9
3 Bedrooms 1 Bathrooms Bungalow,349995.0,3,1,0,1227.0,0.0,1960,Single Family,Residential Detached Single Family,Bungalow,Nw,Lynnwood,Edmonton,Alberta,T5R 1Y3
5 Bedrooms 2 Bathrooms Bungalow,859000.0,5,2,0,1314.0,0.17,1949,Single Family,Residential Detached Single Family,Bungalow,9218 116 Street Nw,Windsor Park,Edmonton,Alberta,T6G 1R1
4 Bedrooms 2 Bathrooms Bungalow,359900.0,4,2,0,1070.0,0.13,1962,Single Family,Residential Detached Single Family,Bungalow,16124 90 Avenue Nw Nw,Meadowlark Park,Edmonton,Alberta,T5R 4W8
2 Bedrooms 1 Bathrooms Bungalow,724900.0,2,1,2,612.0,0.0,1928,Single Family,Residential Detached Single Family,Bungalow,14212 101 Avenue Nw,Grovenor,Edmonton,Alberta,T5N 0K4
4 Bedrooms 2 Bathrooms Bungalow,399500.0,4,2,0,1170.0,0.14,1966,Single Family,Residential Detached Single Family,Bungalow,11436 44a Avenue Nw,Royal Gardens,Edmonton,Alberta,T6J 0Z9
3 Bedrooms 1 Bathrooms Raised Bungalow,274000.0,3,1,0,733.0,0.0,1955,Single Family,Residential Detached Single Family,Raised Bungalow,11938 41 Street Nw,Beacon Heights,Edmonton,Alberta,T5W 2M2
4 Bedrooms 2 Bathrooms Bungalow,379900.0,4,2,0,1043.0,0.0,1959,Single Family,Residential Detached Single Family,Bungalow,15624 83 Avenue Nw,Lynnwood,Edmonton,Alberta,T5R 3T7
4 Bedrooms 2 Bathrooms Bungalow,279000.0,4,2,0,1030.0,0.08,1944,Single Family,Residential Detached Single Family,Bungalow,10618 96 Street Nw,Mccauley,Edmonton,Alberta,T5H 2J1
1 Bedrooms 1 Bathrooms Bungalow,329000.0,1,1,0,861.0,0.13,1947,Single Family,Residential Detached Single Family,Bungalow,10720 112 Street Nw Nw,Queen Mary Park,Edmonton,Alberta,T5H 3H1
4 Bedrooms 1 Bathrooms Bungalow,322500.0,4,1,0,1037.0,0.0,1958,Single Family,Residential Detached Single Family,Bungalow,15826 94a Avenue N Nw,Meadowlark Park,Edmonton,Alberta,T5R 5L8
5 Bedrooms 2 Bathrooms Bungalow,359000.0,5,2,0,926.0,0.14,1952,Single Family,Residential Detached Single Family,Bungalow,7636 88 Avenue Nw,Idylwylde,Edmonton,Alberta,T6C 1K8
4 Bedrooms 2 Bathrooms Bungalow,295000.0,4,2,4,1066.0,0.0,1958,Single Family,Residential Detached Single Family,Bungalow,15755 108 Avenue Nw,Mayfield,Edmonton,Alberta,T5P 1A7
5 Bedrooms 2 Bathrooms Bungalow,268900.0,5,2,0,864.0,0.17,1950,Single Family,Residential Detached Single Family,Bungalow,12902 96 Street Nw,Killarney,Edmonton,Alberta,T5E 4B1
